product_ordered,organizationId,min_price,max_price,frequency,25_groups,35_groups,40_groups
DILL,5ASEPlvGDhzzsqBtSbv1,2.0,2.0,9,14,6,15
SMOKED FARMER RAW BACON SLICED BRAND RUBLI CONDITION CHILLED COUNTRY SWITZERLAND,5ASEPlvGDhzzsqBtSbv1,67.5,67.5,9,14,3,15
TOMATO CHERRY VINE RED,5ASEPlvGDhzzsqBtSbv1,15.0,17.0,9,5,31,20
BROCCOLINI,5ASEPlvGDhzzsqBtSbv1,18.5,21.9,9,14,6,15
BROCCOLINI,SBARTemlIRP0og3eXx8u,17.0,20.9,115,14,6,15
BROCCOLINI,PICKLEVILLE,16.9,20.9,89,14,6,15
BROCCOLINI,qUaDyfzQ5GxFE9dyOhao,5.6168,21.9,145,14,6,15
BROCCOLINI,6hReMbtRVHmsFmp3Sy5r,18.5,21.9,138,14,6,15
BROCCOLINI,3l2ChN6QwY5x8JTRJajV,16.0,20.9,335,14,6,15
BROCCOLINI,2SBVln3dsn5IX35mnJvy,16.5,21.9,268,14,6,15
ARTIGIANA BURRATINA IN BICCHIERE,5ASEPlvGDhzzsqBtSbv1,5.5,5.7,9,14,22,15
HOKTO MAITAKI MUSHROOM,5ASEPlvGDhzzsqBtSbv1,2.2,2.2,8,11,30,21
OCTOPUS MOYSEAFOOD ESP,5ASEPlvGDhzzsqBtSbv1,28.0,29.5,8,14,6,15
REDMAN ICING SUGAR SNOW WHITE,5ASEPlvGDhzzsqBtSbv1,2.4,2.4,8,18,15,8
REDMAN ICING SUGAR SNOW WHITE,ug4Z8SOj0N1E87IPPIod,2.25,2.4,100,18,15,8
CANDIA FAT UNSALTED BUTTER BLOCK,5ASEPlvGDhzzsqBtSbv1,2.3,4.6,8,14,6,1
ORANGE COSMOS FLOWERS,5ASEPlvGDhzzsqBtSbv1,13.9,13.9,8,14,6,15
LRN FZ ORIGINAL NATURAL SOUR DOUGH BREADLONG,CLFrg9CzZG1KynRwwPpV,34.0,34.0,16,3,6,15
HERBS,CLFrg9CzZG1KynRwwPpV,0.5981,4.0,15,14,6,15
HERBS,hJtX5oWjVTQAWpJ4gMZ5,0.5981,7.0,320,14,6,15
GARLIC PEELED,CLFrg9CzZG1KynRwwPpV,4.1776,5.0,14,1,6,15
GARLIC PEELED,k3UwIHEpLVJ9zlD4Po6S,3.5,4.5,64,1,6,15
GARLIC PEELED,IqrZb4R8IBBBX72xbr6O,4.5,4.5,89,1,6,15
GARLIC PEELED,hMTlVUJVpBoJZX4hKR7n,2.4,4.5,151,1,6,15
GARLIC PEELED,bE7u2sgIZ3s8CKmwUqRr,3.2,4.0,60,1,6,15
GARLIC PEELED,d3f5c595-873c-481a-a024-3b209533d72e,5.0,5.0,148,1,6,15
GARLIC PEELED,PICKLEVILLE,5.0,5.0,65,1,6,15
GARLIC PEELED,RAtjEwAw5JZqX46E7fUD,5.0,5.0,108,1,6,15
GARLIC PEELED,c70c071d-6fcb-4596-bd16-86a26c4e36fc,3.0,5.0,138,1,6,15
GARLIC PEELED,qUaDyfzQ5GxFE9dyOhao,3.4,5.0,116,1,6,15
GARLIC PEELED,TCNs6ubTKBzMTsSdTGOe,3.5,5.0,123,1,6,15
GARLIC PEELED,COQNBALLS,5.0,5.0,72,1,6,15
GARLIC PEELED,d7SEd3s5IO8OFTGbhm3U,4.5,4.5,339,1,6,15
GARLIC PEELED,SARNIES,5.0,5.0,227,1,6,15
GARLIC PEELED,OjKlvfiNMdOMarxa4K8T,2.8038,5.35,211,1,6,15
GARLIC PEELED,4b6e7dcd-cab1-45c8-a19d-9ea1b851e0bc,5.0,5.0,358,1,6,15
GARLIC PEELED,tMffMi0bBNVlzTLTBHiL,3.4,3.5,273,1,6,15
GARLIC PEELED,Y7UmL0O87UJXe0mlOJ2h,3.4,7.0,548,1,6,15
GARLIC PEELED,2SBVln3dsn5IX35mnJvy,3.5,5.0,244,1,6,15
GARLIC PEELED,dbe4c2f9-e1ef-48be-a479-ad9972aa76f2,5.0,5.0,391,1,6,15
GARLIC PEELED,DTE3NjLMc3M5n5h6RcJ8,3.5,5.0,201,1,6,15
GARLIC PEELED,m3FCjwBwqzZve4VCXjQn,3.5,3.6,182,1,6,15
GARLIC PEELED,bgvfuSmTFDXTyUDoN0qp,3.0,4.5,891,1,6,15
GARLIC PEELED,tFwVht0zVlzfYANIVoKb,5.0,5.0,638,1,6,15
GARLIC PEELED,mbqvoTlZSi1aN0wjFDGn,4.5,4.5,337,1,6,15
GARLIC PEELED,QBlfKe1hMKQYUV5uBDuu,3.5,5.0,141,1,6,15
CABBAGE,CLFrg9CzZG1KynRwwPpV,0.8971,0.8971,12,14,28,12
CABBAGE,JOx4G2Lrg8107VxgvSD0,1.3,1.3,10,14,28,12
CABBAGE,THATBAR,1.8,2.5,11,14,28,12
CABBAGE ROUND,CLFrg9CzZG1KynRwwPpV,1.0,1.5,8,14,28,12
CABBAGE ROUND,3r73DyXyd3Szsf9JNpaI,1.1,1.5,30,14,28,12
CABBAGE ROUND,NwKAt2s45suG4zWjrtzb,1.0,1.5,16,14,28,12
CABBAGE ROUND,6CFhOC4Mui3XQXgA7bfq,1.5,1.5,41,14,28,12
CABBAGE ROUND,7w4iCJYkZmWa1jACSKhr,1.0,1.6,335,14,28,12
CUBAN BREAD,CLFrg9CzZG1KynRwwPpV,1.1,1.1,8,14,6,15
NATURAL CANE SUGAR,CLFrg9CzZG1KynRwwPpV,3.0,3.0,7,18,15,8
LEVONI MORTADELLA BOLOGNA WITH PISTACHIO,CLFrg9CzZG1KynRwwPpV,18.0,19.0,7,14,6,15
CAPSICUM,CLFrg9CzZG1KynRwwPpV,1.757,3.5047,6,14,21,20
CUCUMBER,CLFrg9CzZG1KynRwwPpV,2.8504,2.8504,6,14,6,31
CUCUMBER,JOx4G2Lrg8107VxgvSD0,1.5,1.5,10,14,6,31
CUCUMBER,hJtX5oWjVTQAWpJ4gMZ5,1.4299,39.0,69,14,6,31
CUCUMBER,Wwim9VraEE3QYKUVtF4V,1.0,2.7,282,14,6,31
CUCUMBER,m3FCjwBwqzZve4VCXjQn,1.0,2.7,363,14,6,31
FRESH EGGS,CLFrg9CzZG1KynRwwPpV,7.0,7.0,6,6,6,10
FRESH EGGS,hJtX5oWjVTQAWpJ4gMZ5,7.0,9.271,73,6,6,10
FRESH EGGS,e86962a1-82e3-4047-a0df-00cddc9db524,0.1588,0.255,136,6,6,10
TURKEY BREAST BL SO TVF USA HALAL,CLFrg9CzZG1KynRwwPpV,13.5,13.5,6,3,5,2
WHITE TOAST,CLFrg9CzZG1KynRwwPpV,3.2,8.0,5,22,10,8
CREAMY HORSERADISH,CLFrg9CzZG1KynRwwPpV,3.7,3.7,5,14,6,15
REAL MAYONINAISE,CLFrg9CzZG1KynRwwPpV,14.18,58.96,5,14,6,15
PINEAPPLE,CLFrg9CzZG1KynRwwPpV,1.5981,1.5981,5,14,6,25
PINEAPPLE,ezhwwSmXIE1jeZlmtHDa,2.0,5.5,91,14,6,25
PINEAPPLE,rbpANC1F0I1GVQI75juA,2.0,5.2,142,14,6,25
PINEAPPLE,OjKlvfiNMdOMarxa4K8T,1.8692,2.5,211,14,6,25
ORANGE,CLFrg9CzZG1KynRwwPpV,0.5047,0.5047,5,14,6,15
ORANGE,rbpANC1F0I1GVQI75juA,2.5,2.8,191,14,6,15
ORANGE,DTE3NjLMc3M5n5h6RcJ8,2.3,2.5,190,14,6,15
ORANGE,QBlfKe1hMKQYUV5uBDuu,2.5,2.5,183,14,6,15
CARROT,CLFrg9CzZG1KynRwwPpV,0.6728,1.3458,4,15,6,32
CARROT,wOhW8w2TzucDLsosacGT,1.49,1.8,6,15,6,32
CARROT,db032065-07d5-43c2-91b8-86a06a5d764e,2.0,7.0,87,15,6,32
CARROT,1ug2e9WJ4l2tUWVS2cih,1.4,1.6,56,15,6,32
CARROT,hJtX5oWjVTQAWpJ4gMZ5,0.6729,1.514,96,15,6,32
CARROT,Wwim9VraEE3QYKUVtF4V,1.3,1.6,205,15,6,32
CARROT,OjKlvfiNMdOMarxa4K8T,1.4019,2.0,258,15,6,32
CARROT,A9KBK7FuOowtwmzRlqHn,1.4,1.5,203,15,6,32
CARROT,m3FCjwBwqzZve4VCXjQn,1.3,1.5,211,15,6,32
CARROT,0sBibqOyTiY2TMwvultj,1.2,17.0,430,15,6,32
POPIAH STUFFING,bmJff91pvy02rDaKy0Fz,6.6,6.6,18,14,6,15
POPIAH STUFFING,eBR86Cbgvvh3rAo36W3b,6.6,6.6,116,14,6,15
LONG BEANTHAI,bmJff91pvy02rDaKy0Fz,4.0,5.0,15,14,16,37
TOFU BOX GREEN,bmJff91pvy02rDaKy0Fz,0.9,0.9,15,20,19,3
POPIAH SKIN TRADE,bmJff91pvy02rDaKy0Fz,7.4766,7.4766,14,14,6,15
HONGKONG KAILAN,bmJff91pvy02rDaKy0Fz,5.5,5.5,14,14,6,15
TUBE ICEBABY ICE,bmJff91pvy02rDaKy0Fz,4.0,4.0,13,4,6,9
BEANSPROUT,bmJff91pvy02rDaKy0Fz,1.1,1.3,12,14,6,15
BEANSPROUT,706c3aa4-776e-4300-9108-80eb6771dffb,1.2,4.8,55,14,6,15
BEANSPROUT,79twyDlBrvO0H0jhcvdw,1.2,1.2,209,14,6,15
THAI PURPLE BRINJAL,bmJff91pvy02rDaKy0Fz,3.5,4.0,13,14,6,15
BOMBAY ONION,bmJff91pvy02rDaKy0Fz,6.5,6.5,12,22,2,4
HOKKIEN MEE,bmJff91pvy02rDaKy0Fz,1.8,3.0,10,14,6,15
HOKKIEN MEE,eBR86Cbgvvh3rAo36W3b,7.2,7.2,115,14,6,15
SILVER BEANSPROUT,bmJff91pvy02rDaKy0Fz,3.8,3.8,10,14,6,15
ROYALE CHIVES,bmJff91pvy02rDaKy0Fz,2.0,2.0,10,14,6,15
CHINESE SPINACH,bmJff91pvy02rDaKy0Fz,5.5,5.5,9,14,6,5
TOMATOESL,bmJff91pvy02rDaKy0Fz,2.2,2.2,9,14,6,15
RED CARROT,bmJff91pvy02rDaKy0Fz,1.4,1.4,9,15,4,32
RED CARROT,f8228d4f-2422-4128-9991-f585d1feb5b9,0.4,2.0,1667,15,4,32
BEIJING CABBAGE,bmJff91pvy02rDaKy0Fz,1.25,1.5,9,14,28,12
EGG,bmJff91pvy02rDaKy0Fz,0.17,0.17,8,2,6,17
EGG,1ug2e9WJ4l2tUWVS2cih,0.23,0.5,42,2,6,17
EGG,rbpANC1F0I1GVQI75juA,7.0,8.5,204,2,6,17
EGG,DTE3NjLMc3M5n5h6RcJ8,7.0,8.5,191,2,6,17
EGG,yoUph1C3AlRZyqM5TIte,0.15,0.2743,1189,2,6,17
BROCCOLI CHINA,bmJff91pvy02rDaKy0Fz,4.0,4.0,8,14,6,15
BROCCOLI CHINA,wT2iwI23Zj7qrI2Ntpiu,3.8,4.0,33,14,6,15
BROCCOLI CHINA,iaronCXV4Lbepr7lM7hj,2.3,4.0,87,14,6,15
BROCCOLI CHINA,nsktAYJt6SCG2eThiqOc,2.3,4.0,23,14,6,15
COLESLAW,bmJff91pvy02rDaKy0Fz,7.0,7.0,8,14,6,15
COLESLAW,eBR86Cbgvvh3rAo36W3b,7.0,7.0,125,14,6,15
OYSTER MUSHROOM,wOhW8w2TzucDLsosacGT,1.0,1.23,19,11,30,21
SHIITAKE MUSHROOM,wOhW8w2TzucDLsosacGT,6.5,8.2,13,11,30,21
SHREDDED CABBAGE,wOhW8w2TzucDLsosacGT,3.5,3.5,10,14,28,12
FROZEN CHICKEN LEG BONELESS SEARA UP,wOhW8w2TzucDLsosacGT,7.48,9.9,10,19,29,24
GINGER FLOWER,wOhW8w2TzucDLsosacGT,1.1,1.1,10,14,6,15
FRESH EGGS GRADE,wOhW8w2TzucDLsosacGT,6.1,6.9,9,6,6,10
MINCED GARLIC,wOhW8w2TzucDLsosacGT,3.0,3.0,9,14,6,15
KING MUSHROOM,wOhW8w2TzucDLsosacGT,0.95,1.0,8,11,30,21
NAI BAI CHYE,wOhW8w2TzucDLsosacGT,4.85,5.5,8,14,6,15
TSINGTAO PREMIUM LAGER BTL,wOhW8w2TzucDLsosacGT,62.0,62.0,7,14,6,15
PEELED SHALLOT,wOhW8w2TzucDLsosacGT,4.0,4.0,7,1,6,15
SOFT ROLL BHF,wOhW8w2TzucDLsosacGT,34.8,34.8,7,14,6,1
COCONUT CREAM KARA,wOhW8w2TzucDLsosacGT,3.8,3.8,7,14,6,39
BAKED BEANS MILI,wOhW8w2TzucDLsosacGT,28.0,28.0,6,14,6,15
CRINKLE CUT FRIES FARMCHEF,wOhW8w2TzucDLsosacGT,2.9,29.0,6,8,14,19
FROZEN CHICKEN MIDDLE WING SEARA,wOhW8w2TzucDLsosacGT,5.06,57.6,6,19,29,17
DORY FILLET,wOhW8w2TzucDLsosacGT,18.0,25.0,6,6,5,15
DORY FILLET,HF3Jl0xM91QISNT4x421,16.0,24.0,78,6,5,15
DORY FILLET,hPIiQloeyM6N7SybpXnN,16.0,24.0,90,6,5,15
DORY FILLET,oLLwt6RtVdHvv2xTqvQD,16.0,24.0,160,6,5,15
DORY FILLET,yoUph1C3AlRZyqM5TIte,2.1,27.0,757,6,5,15
JAPAN WHITE SHIMEJI,wOhW8w2TzucDLsosacGT,0.81,0.9,6,22,10,8
BIO BOARD NOODLE BOX FSC MIX,arlA9NNUYxWMekhn88ye,99.0,131.6,22,14,9,15
BIO CONTF WLIDTF,arlA9NNUYxWMekhn88ye,68.0,68.0,19,14,9,15
TRAYPP,arlA9NNUYxWMekhn88ye,75.0,82.0,8,14,6,15
LIDFOR TRAPP,arlA9NNUYxWMekhn88ye,35.0,40.0,8,14,6,15
CLEAR LID FOR,arlA9NNUYxWMekhn88ye,11.0,25.0,4,14,6,15
SQ KRAFT PAPER FOOD PAIL,arlA9NNUYxWMekhn88ye,85.0,85.0,3,14,0,14
JPCKB KRAFT PAPER LUNCH BOX,arlA9NNUYxWMekhn88ye,0.17,0.17,3,14,0,14
PP BLK BENTO WITH LID,arlA9NNUYxWMekhn88ye,75.0,75.0,3,14,6,15
PP BLK BENTO,arlA9NNUYxWMekhn88ye,50.0,50.0,3,14,6,15
BIO CANTF WLIDTF,arlA9NNUYxWMekhn88ye,68.0,68.0,3,14,9,15
PERFUME TREE GIN,arlA9NNUYxWMekhn88ye,80.0,80.0,1,14,6,15
DARLINGS DUMPLING COASTER ROUND BEERRMAT BOARD THICKNESS,arlA9NNUYxWMekhn88ye,0.06,0.069,2,14,9,15
SEBASTIEN RIFFAULT SANCERRE LES QUARTERONS,arlA9NNUYxWMekhn88ye,43.0,43.0,1,14,6,15
BIOSKPSET,arlA9NNUYxWMekhn88ye,68.0,68.0,1,14,6,15
MYLENE BRU VIN DE FRANCE LES MOULINS DE MOM COEUR,arlA9NNUYxWMekhn88ye,38.58,38.58,1,14,6,35
LB GYOZA,arlA9NNUYxWMekhn88ye,0.209,0.209,1,14,6,15
LB GYOZA ROLL ROLL,arlA9NNUYxWMekhn88ye,0.22,0.22,1,14,6,1
LES SABOTS DHELENE VIN DE TABLE NI DIEU NI MAITRE NI SULFITE DU RAISIN ET BASTA,arlA9NNUYxWMekhn88ye,34.0,34.0,1,14,6,35
LES CIGALES DANS LA FOURMILIERE VIN DE FRANCE MATA HARI,arlA9NNUYxWMekhn88ye,46.5,46.5,1,14,6,15
GREENFIELD UHT FULL CREAM MILK,4JaqFqXGzQZo2VI1LM6D,21.0,25.2,26,14,6,39
COCONUT TOP OFF,4JaqFqXGzQZo2VI1LM6D,3.5,3.6,20,14,6,15
RENTAL OF LA MARZOCCO ESPRESSO MACHINE MAZZER KONY ESPRESSO GRINDER,4JaqFqXGzQZo2VI1LM6D,300.0,300.0,18,14,6,15
ELLE VIRE PERFORMANCE UNIVERSAL CREAM FAT,4JaqFqXGzQZo2VI1LM6D,6.5,7.5,17,14,6,1
ELLE VIRE PERFORMANCE UNIVERSAL CREAM FAT,2SBVln3dsn5IX35mnJvy,6.5,7.2,260,14,6,1
SUGAR FINE,4JaqFqXGzQZo2VI1LM6D,31.0,33.0,17,18,15,8
CAPFRUIT FROZEN PUREE MANGO,4JaqFqXGzQZo2VI1LM6D,9.8,14.5,15,16,12,6
COCOLIFE COCONUT WATER,4JaqFqXGzQZo2VI1LM6D,12.45,13.2,14,12,6,15
MANGO PUREE BOIRON FRA HALAL MANGUE,4JaqFqXGzQZo2VI1LM6D,14.25,14.25,13,16,12,6
CAPFRUIT FROZEN PUREE PASSION FRUIT,4JaqFqXGzQZo2VI1LM6D,12.8,15.5,12,16,12,6
BUN BRIOCHE INDENT,4JaqFqXGzQZo2VI1LM6D,1.0,1.3,12,14,24,18
LRN FZ HAND ROLLED ITALIAN CIABATTA BREAD,4JaqFqXGzQZo2VI1LM6D,21.3,21.3,11,3,26,15
PASSION FRUIT PUREE BOIRON FRA HALAL FRUIT DE LA PASSION,4JaqFqXGzQZo2VI1LM6D,15.2,15.2,11,16,12,6
RENTAL,4JaqFqXGzQZo2VI1LM6D,220.0,220.0,11,14,6,15
CAPFRUIT FROZEN PUREE LEMON,4JaqFqXGzQZo2VI1LM6D,10.0,13.0,11,16,12,6
YELLOW LEMON PUREE BOIRON FRA HALAL,4JaqFqXGzQZo2VI1LM6D,11.5,11.5,11,16,12,6
WATERMELON RED,4JaqFqXGzQZo2VI1LM6D,1.65,1.8,10,14,4,20
WATERMELON RED,ecb6a488-6a92-456d-a2fa-3a42668b63da,1.65,1.65,72,14,4,20
WATERMELON RED,TCNs6ubTKBzMTsSdTGOe,1.6,1.7,120,14,4,20
WATERMELON RED,b22762c4-577c-4195-9c19-367b566625c4,1.65,1.8,195,14,4,20
APPLE GRANNY SMITH GREEN,4JaqFqXGzQZo2VI1LM6D,3.2,3.9,9,20,19,3
APPLE GRANNY SMITH GREEN,SARNIES,3.2,57.6,298,20,19,3
APPLE GRANNY SMITH GREEN,BURNTENDS,3.2,3.9,530,20,19,3
CAPFRUIT FROZEN PUREE PEAR,4JaqFqXGzQZo2VI1LM6D,9.5,15.5,9,16,12,6
CAPFRUIT FROZEN PUREE LYCHEE,4JaqFqXGzQZo2VI1LM6D,13.5,18.8,9,16,12,6
LYCHEE PUREE BOIRON FRA HALAL,4JaqFqXGzQZo2VI1LM6D,17.1,17.1,9,16,12,6
^LETTUCEGREEN CORAL WASHED,3r73DyXyd3Szsf9JNpaI,6.5,6.5,42,14,6,15
RIPEN TOMATOES XL,3r73DyXyd3Szsf9JNpaI,14.5,14.5,37,14,6,13
RIPEN TOMATOES XL,drkMZqX0pcuEgyAuEeJz,14.5,20.1,230,14,6,13
MESCLUN MIX,3r73DyXyd3Szsf9JNpaI,23.175,23.175,35,14,9,15
MESCLUN MIX,g9QftLgXUFRl66aGxcrM,17.45,26.175,134,14,9,15
MESCLUN MIX,3JgfXd0ZmpKaIHFIOKwi,23.175,26.175,207,14,9,15
MESCLUN MIX,zxi6JMIx4lraztwzQB3Y,15.45,26.175,243,14,9,15
MESCLUN MIX,drkMZqX0pcuEgyAuEeJz,23.175,46.35,284,14,9,15
MESCLUN MIX,bgvfuSmTFDXTyUDoN0qp,17.5,21.0,325,14,9,15
GERMAN CABBAGE SALAD,3r73DyXyd3Szsf9JNpaI,8.0,8.0,35,14,28,12
QB FOOD UK SLICED CHEDDAR CHEESE,3r73DyXyd3Szsf9JNpaI,12.41,12.8,35,13,32,15
QB FOOD UK SLICED CHEDDAR CHEESE,zxi6JMIx4lraztwzQB3Y,12.41,15.0,206,13,32,15
QB FOOD UK SLICED CHEDDAR CHEESE,drkMZqX0pcuEgyAuEeJz,12.41,15.0,230,13,32,15
^SAUTEED SLICED MUSHROOM,3r73DyXyd3Szsf9JNpaI,5.95,5.95,35,11,32,21
CHILLI SAUCE,3r73DyXyd3Szsf9JNpaI,20.7,20.7,34,13,8,23
CHILLI SAUCE,3JgfXd0ZmpKaIHFIOKwi,1.28,22.8,195,13,8,23
HIG SAUCE,3r73DyXyd3Szsf9JNpaI,28.25,28.25,33,13,8,23
HIG SAUCE,g9QftLgXUFRl66aGxcrM,28.25,29.35,124,13,8,23
HIG SAUCE,3JgfXd0ZmpKaIHFIOKwi,28.25,29.35,310,13,8,23
HIG SAUCE,zxi6JMIx4lraztwzQB3Y,28.25,29.35,329,13,8,23
HIG SAUCE,drkMZqX0pcuEgyAuEeJz,28.25,29.35,374,13,8,23
FZN ITALY SLICED PROSCIUTTO HAM,3r73DyXyd3Szsf9JNpaI,21.75,21.75,33,14,1,15
FZN ITALY SLICED PROSCIUTTO HAM,3JgfXd0ZmpKaIHFIOKwi,21.75,22.75,218,14,1,15
TENDER GOURMET CHICKEN BREASTS TENDER GOURMET CHICKEN BREASTS,3r73DyXyd3Szsf9JNpaI,88.32,88.32,33,19,29,17
QB FOOD BEEF BURGER PATTY,3r73DyXyd3Szsf9JNpaI,139.65,147.0,33,9,24,34
QB FOOD BEEF BURGER PATTY,g9QftLgXUFRl66aGxcrM,139.65,139.65,108,9,24,34
QB FOOD BEEF BURGER PATTY,3JgfXd0ZmpKaIHFIOKwi,139.65,147.0,246,9,24,34
QB FOOD BEEF BURGER PATTY,zxi6JMIx4lraztwzQB3Y,139.65,147.0,285,9,24,34
QB FOOD BEEF BURGER PATTY,drkMZqX0pcuEgyAuEeJz,139.65,147.0,307,9,24,34
ORANGE MUSTARD SAUCE,3r73DyXyd3Szsf9JNpaI,30.6,30.6,32,13,8,23
WILD ROCKET,3r73DyXyd3Szsf9JNpaI,18.45,55.35,32,14,6,15
WILD ROCKET,g9QftLgXUFRl66aGxcrM,27.675,29.925,89,14,6,15
WILD ROCKET,drkMZqX0pcuEgyAuEeJz,27.675,55.35,198,14,6,15
VEGAN MAYO,3r73DyXyd3Szsf9JNpaI,39.3,45.3,32,14,6,15
TOW POK,3r73DyXyd3Szsf9JNpaI,0.25,0.25,31,14,6,15
SPROUT ALFAFA,3r73DyXyd3Szsf9JNpaI,1.85,1.85,31,14,13,15
SPROUT ALFAFA,3JgfXd0ZmpKaIHFIOKwi,1.85,1.95,195,14,13,15
SPROUT ALFAFA,zxi6JMIx4lraztwzQB3Y,1.85,1.95,227,14,13,15
SPRING ONION,3r73DyXyd3Szsf9JNpaI,6.0,6.5,31,22,2,4
SPRING ONION,GFZkUtd6GNPnrZJjA14U,4.3,6.5,23,22,2,4
SPRING ONION,HRMiJjjpBBZWNPPkqyGi,3.5,7.5,25,22,2,4
SPRING ONION,O9WgoVBCaIDzi4QxYuU3,5.0,10.0,37,22,2,4
SPRING ONION,k3UwIHEpLVJ9zlD4Po6S,5.5,6.0,36,22,2,4
SPRING ONION,NwKAt2s45suG4zWjrtzb,5.5,6.5,18,22,2,4
SPRING ONION,PICKLEVILLE,6.0,6.5,73,22,2,4
SPRING ONION,RAtjEwAw5JZqX46E7fUD,2.0561,6.5,83,22,2,4
SPRING ONION,c70c071d-6fcb-4596-bd16-86a26c4e36fc,6.5,6.5,222,22,2,4
SPRING ONION,qUaDyfzQ5GxFE9dyOhao,5.5,6.5,149,22,2,4
SPRING ONION,ayl2U2BJHwSqYtGtKJqk,4.5,7.0,103,22,2,4
SPRING ONION,COQNBALLS,6.5,8.0,98,22,2,4
SPRING ONION,SARNIES,6.0,6.5,311,22,2,4
SPRING ONION,OjKlvfiNMdOMarxa4K8T,4.5,10.0,322,22,2,4
SPRING ONION,x9bviQCfs5FSKkJJPnFj,6.0,11.5,275,22,2,4
SPRING ONION,Y7UmL0O87UJXe0mlOJ2h,3.8,11.5,451,22,2,4
SPRING ONION,A9KBK7FuOowtwmzRlqHn,3.2,8.0,197,22,2,4
SPRING ONION,0sBibqOyTiY2TMwvultj,3.8,7.5,860,22,2,4
SPRING ONION,bgvfuSmTFDXTyUDoN0qp,0.8,6.0,893,22,2,4
SPRING ONION,f8228d4f-2422-4128-9991-f585d1feb5b9,2.86,9.5,1738,22,2,4
GRILL SAUCE,3r73DyXyd3Szsf9JNpaI,24.6,24.6,30,13,8,23
LETTUCE MESCULIN MIXED,wT2iwI23Zj7qrI2Ntpiu,17.0,17.0,40,23,11,22
LETTUCE MESCULIN MIXED,iaronCXV4Lbepr7lM7hj,17.0,17.0,89,23,11,22
LETTUCE MESCULIN MIXED,nsktAYJt6SCG2eThiqOc,17.0,17.0,22,23,11,22
CAPSICUM RED,wT2iwI23Zj7qrI2Ntpiu,4.4,4.4,33,14,4,20
CAPSICUM RED,iaronCXV4Lbepr7lM7hj,4.4,4.4,59,14,4,20
CAPSICUM RED,b22762c4-577c-4195-9c19-367b566625c4,4.4,6.3,172,14,4,20
CAPSICUM RED,4b6e7dcd-cab1-45c8-a19d-9ea1b851e0bc,4.25,5.9,297,14,4,20
CAPSICUM RED,WILDHONEY,3.2,8.5,864,14,4,20
POTATO LOCAL,wT2iwI23Zj7qrI2Ntpiu,1.1,1.1,30,21,18,33
POTATO LOCAL,tMffMi0bBNVlzTLTBHiL,1.2,1.2,236,21,18,33
ASPARAGUS MINI THAI PLATE,wT2iwI23Zj7qrI2Ntpiu,1.5,1.5,30,14,6,15
ASPARAGUS MINI THAI PLATE,iaronCXV4Lbepr7lM7hj,1.5,1.5,83,14,6,15
ASPARAGUS MINI THAI PLATE,nsktAYJt6SCG2eThiqOc,1.5,1.5,24,14,6,15
CAPSICUM GREEN,wT2iwI23Zj7qrI2Ntpiu,3.2,3.2,28,20,19,3
CAPSICUM GREEN,d3f5c595-873c-481a-a024-3b209533d72e,3.5,5.9,106,20,19,3
CAPSICUM YELLOW,wT2iwI23Zj7qrI2Ntpiu,4.5,4.5,28,14,12,20
CAPSICUM YELLOW,WILDHONEY,4.0,8.0,784,14,12,20
LETTUCE ROMAINE MSIA,wT2iwI23Zj7qrI2Ntpiu,3.6,3.6,27,23,11,22
STRAIGHT CUT FRIES LAMBS STEALTH,wT2iwI23Zj7qrI2Ntpiu,43.0,43.0,27,8,14,19
MEXICAN MIDWING ROASTED,wT2iwI23Zj7qrI2Ntpiu,10.6,10.6,25,14,6,15
ONION BROWNYELLOW,wT2iwI23Zj7qrI2Ntpiu,1.35,1.35,25,22,2,4
CORN BABY YOUNG,wT2iwI23Zj7qrI2Ntpiu,5.25,5.25,23,7,22,7
APPLE GREEN,wT2iwI23Zj7qrI2Ntpiu,0.45,0.45,23,20,19,3
APPLE GREEN,IqrZb4R8IBBBX72xbr6O,0.38,0.38,57,20,19,3
APPLE GREEN,d7SEd3s5IO8OFTGbhm3U,0.38,0.38,217,20,19,3
HERBS BASIL,wT2iwI23Zj7qrI2Ntpiu,1.8,1.8,22,14,6,28
NORWEGIEN SALMON FILLET TRIM,GFZkUtd6GNPnrZJjA14U,23.0,23.0,42,6,5,10
MEKAJIKI CUBE,GFZkUtd6GNPnrZJjA14U,8.0,8.0,42,14,6,15
TUNA CUBE,GFZkUtd6GNPnrZJjA14U,11.0,11.0,39,14,6,15
EGG CHICKEN,GFZkUtd6GNPnrZJjA14U,5.1,5.1,32,2,29,17
LETTUCE GREEN CORAL,GFZkUtd6GNPnrZJjA14U,5.0,5.0,29,23,11,22
LETTUCE GREEN CORAL,mZRbrxkZpKmI082Mcc2v,4.2,6.0,347,23,11,22
LETTUCE GREEN CORAL,Nq0MaGT0ku8KDsCkSKc3,4.3,5.0,571,23,11,22
LETTUCE GREEN CORAL,mbqvoTlZSi1aN0wjFDGn,4.3,5.5,1149,23,11,22
LETTUCE ICEBERG,GFZkUtd6GNPnrZJjA14U,2.2,3.0,29,23,11,22
LETTUCE ICEBERG,yNLDhDuX7anISJyEgDj8,2.6,3.8,78,23,11,22
LETTUCE ICEBERG,hJtX5oWjVTQAWpJ4gMZ5,2.6,3.9,67,23,11,22
LETTUCE ICEBERG,3l2ChN6QwY5x8JTRJajV,2.6,5.5,297,23,11,22
